,,0.0,0.1144,,0.1144,0.2334,,0.2334,0.2953,,0.2953,0.7712,,0.7712,1.0
39,s2,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.05,,0.05,0.2582,,0.2582,0.6918,,0.6918,0.8999,,0.8999,1.0
40,s2,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.0843,,0.0843,0.435,,0.435,0.4807,,0.4807,0.8314,,0.8314,1.0
41,s1,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.2009,,0.2009,0.3054,,0.3054,0.7408,,0.7408,0.9498,,0.9498,1.0
42,s1,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.3246,,0.3246,0.4934,,0.4934,0.5813,,0.5813,0.9189,,0.9189,1.0
43,s1,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0846,,0.0846,0.2605,,0.2605,0.627,,0.627,0.9789,,0.9789,1.0
44,s1,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.1289,,0.1289,0.3969,,0.3969,0.4318,,0.4318,0.9678,,0.9678,1.0
45,s1,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1487,,0.1487,0.226,,0.226,0.5481,,0.5481,0.7027,,0.7027,1.0
46,s1,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.207,,0.207,0.3146,,0.3146,0.3707,,0.3707,0.586,,0.586,1.0
47,s1,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0737,,0.0737,0.2269,,0.2269,0.5462,,0.5462,0.8527,,0.8527,1.0
48,s1,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1051,,0.1051,0.3238,,0.3238,0.3523,,0.3523,0.7897,,0.7897,1.0
49,s2,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.1117,,0.1117,0.2278,,0.2278,0.7118,,0.7118,0.9442,,0.9442,1.0
50,s2,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.1937,,0.1937,0.3952,,0.3952,0.5002,,0.5002,0.9031,,0.9031,1.0
51,s2,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0442,,0.0442,0.2278,,0.2278,0.6105,,0.6105,0.9779,,0.9779,1.0
52,s2,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0689,,0.0689,0.3553,,0.3553,0.3926,,0.3926,0.9656,,0.9656,1.0
53,s2,¦Á,¦Â,s3,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0803,,0.0803,0.1638,,0.1638,0.5118,,0.5118,0.6788,,0.6788,1.0
54,s2,¦Á,¦Â,s3,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1155,,0.1155,0.2355,,0.2355,0.2981,,0.2981,0.5382,,0.5382,1.0
55,s2,¦Á,¦Â,s4,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0382,,0.0382,0.1973,,0.1973,0.5288,,0.5288,0.847,,0.847,1.0
56,s2,¦Á,¦Â,s4,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0555,,0.0555,0.2863,,0.2863,0.3164,,0.3164,0.778,,0.778,1.0
57,s5,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s11,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.0273,,0.0273,0.4816,,0.4816,0.7182,,0.7182,0.9454,,0.9454,1.0
58,s5,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s11,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.0344,,0.0344,0.6074,,0.6074,0.6447,,0.6447,0.9311,,0.9311,1.0
59,s5,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.027,,0.027,0.2521,,0.2521,0.7209,,0.7209,0.9459,,0.9459,1.0
60,s5,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.0483,,0.0483,0.4497,,0.4497,0.502,,0.502,0.9035,,0.9035,1.0
61,s5,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.0259,,0.0259,0.4567,,0.4567,0.681,,0.681,0.8964,,0.8964,1.0
62,s5,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.0322,,0.0322,0.5682,,0.5682,0.6031,,0.6031,0.8711,,0.8711,1.0
63,s5,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.0257,,0.0257,0.2391,,0.2391,0.6839,,0.6839,0.8974,,0.8974,1.0
64,s5,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.044,,0.044,0.4102,,0.4102,0.4578,,0.4578,0.824,,0.824,1.0
65,s6,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s11,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.1834,,0.1834,0.5648,,0.5648,0.7634,,0.7634,0.9542,,0.9542,1.0
66,s6,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s11,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.222,,0.222,0.6836,,0.6836,0.7137,,0.7137,0.9445,,0.9445,1.0
67,s6,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.1819,,0.1819,0.3711,,0.3711,0.7653,,0.7653,0.9545,,0.9545,1.0
68,s6,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.2886,,0.2886,0.5887,,0.5887,0.6278,,0.6278,0.9279,,0.9279,1.0
69,s6,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.1753,,0.1753,0.54,,0.54,0.73,,0.73,0.9123,,0.9123,1.0
70,s6,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s11,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.2103,,0.2103,0.6477,,0.6477,0.6762,,0.6762,0.8949,,0.8949,1.0
71,s6,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.174,,0.174,0.355,,0.355,0.732,,0.732,0.913,,0.913,1.0
72,s6,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s12,¦Á,¦Â,s10,¦Á,¦Â
,,0.0,0.2691,,0.2691,0.5491,,0.5491,0.5855,,0.5855,0.8654,,0.8654,1.0
73,s5,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0318,,0.0318,0.5606,,0.5606,0.836,,0.836,0.9682,,0.9682,1.0
74,s5,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0419,,0.0419,0.7386,,0.7386,0.7839,,0.7839,0.9581,,0.9581,1.0
75,s5,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0226,,0.0226,0.2104,,0.2104,0.6017,,0.6017,0.9774,,0.9774,1.0
76,s5,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0357,,0.0357,0.3323,,0.3323,0.371,,0.371,0.9643,,0.9643,1.0
77,s5,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.026,,0.026,0.4586,,0.4586,0.6839,,0.6839,0.792,,0.792,1.0
